"NAME_1","month","day","total_count","mean_pop","median_pop","total_baseline_oblast_population","baseline_penetration_rate","current_pop_size","total_baseline_pop","net_outflow","total_current_pop_by_month_and_day","scaling_factor","adjusted_pop_size","net_pop_change","proportional_net_change","date","week","week_adjusted"
"Cherkasy",2,25,47636,35047,27296,1181057.0818958,0.0231114993664703,2061138.45080555,42166319.9815403,156788,57714814.0729419,0.727881266817342,1500264.06665828,319206.984762476,0.27027227528249,2022-02-25,8,1
"Cherkasy",2,26,50201,35047,27296,1181057.0818958,0.0231114993664703,2172122.16325656,42166319.9815403,287630,54830600.7739893,0.763783168347243,1659030.34788936,477973.265993559,0.40469954697391,2022-02-26,8,1
"Cherkasy",2,27,29833,35047,27296,1181057.0818958,0.0231114993664703,1290829.27623818,42166319.9815403,444321,34689248.302566,1.20273574733109,1552526.51423317,371469.432337371,0.314522844011145,2022-02-27,8,1
"Cherkasy",2,28,26879,35047,27296,1181057.0818958,0.0231114993664703,1163014.11577803,42166319.9815403,597136,29826495.0213085,1.39369992859847,1620892.69011886,439835.60822306,0.372408425439563,2022-02-28,9,2
"Cherkasy",3,1,27136,35047,27296,1181057.0818958,0.0231114993664703,1174134.12127507,42166319.9815403,752539,28943088.6343985,1.43086943845795,1680032.63078318,498975.548887378,0.422482161561943,2022-03-01,9,2
"Cherkasy",3,2,30740,35047,27296,1181057.0818958,0.0231114993664703,1330073.80925692,42166319.9815403,912962,35135319.8597528,1.17412786182703,1561676.71773496,380619.635839156,0.322270313326597,2022-03-02,9,2
"Cherkasy",3,3,24619,35047,27296,1181057.0818958,0.0231114993664703,1065227.29701028,42166319.9815403,1086775,26214272.9591755,1.56706787350216,1669283.47512236,488226.39322656,0.413380860849564,2022-03-03,9,2
"Cherkasy",3,4,14055,35047,27296,1181057.0818958,0.0231114993664703,608138.82202687,42166319.9815403,1247401,15313132.9003459,2.6721454876563,1625035.40914772,443978.327251916,0.375916062024076,2022-03-04,9,2
"Cherkasy",3,5,12934,35047,27296,1181057.0818958,0.0231114993664703,559634.829177911,42166319.9815403,1432746,13926017.6155252,2.92499802212867,1636930.76845971,455873.686563905,0.385987852367093,2022-03-05,9,2
"Cherkasy",3,6,11791,35047,27296,1181057.0818958,0.0231114993664703,510178.929243602,42166319.9815403,1624612,13896831.3329623,2.91733467940842,1488362.68298581,307305.601090013,0.260195384118721,2022-03-06,9,2
"Cherkasy",3,7,12071,35047,27296,1181057.0818958,0.0231114993664703,522294.110329872,42166319.9815403,1821480,13709821.72095,2.94276911857208,1536990.97869082,355933.896795024,0.301368919632308,2022-03-07,10,3
"Cherkasy",3,8,8306,35047,27296,1181057.0818958,0.0231114993664703,359388.193223421,42166319.9815403,1995363,10261795.2527854,3.91461298846675,1406865.689094,225808.607198201,0.191191950549705,2022-03-08,10,3
"Cherkasy",3,9,9420,35047,27296,1181057.0818958,0.0231114993664703,407589.306545223,42166319.9815403,2153330,12324119.9292663,3.24672189261327,1323329.12475544,142272.042859639,0.120461614464279,2022-03-09,10,3
"Cherkasy",3,10,13544,35047,27296,1181057.0818958,0.0231114993664703,586028.616544427,42166319.9815403,2263225,13719835.8948061,2.90842363476421,1704419.47900599,523362.397110187,0.443130484658794,2022-03-10,10,3
"Cherkasy",3,11,13752,35047,27296,1181057.0818958,0.0231114993664703,595028.465351371,42166319.9815403,2370102,13466741.2749448,2.95514832943157,1758397.37534733,577340.293451532,0.488833522360157,2022-03-11,10,3
"Cherkasy",3,12,18039,35047,27296,1181057.0818958,0.0231114993664703,780520.541482939,42166319.9815403,2470355,14483456.4197904,2.7407798132564,2139234.94392839,958177.862032591,0.811288359149035,2022-03-12,10,3
"Cherkasy",3,13,18689,35047,27296,1181057.0818958,0.0231114993664703,808645.069004637,42166319.9815403,2581188,15039923.0181013,2.63200363019795,2128356.75716188,947299.675266077,0.802077807912127,2022-03-13,10,3
"Cherkasy",3,14,14366,35047,27296,1181057.0818958,0.0231114993664703,621595.326733405,42166319.9815403,2682682,13620353.5730419,2.89887026572411,1801924.20998053,620867.128084732,0.525687655238588,2022-03-14,11,4
"Cherkasy",3,15,10454,35047,27296,1181057.0818958,0.0231114993664703,452328.939556663,42166319.9815403,2778894,11936245.4696398,3.29981702217197,1492602.73437007,311545.652474272,0.263785431923568,2022-03-15,11,4
"Cherkasy",3,16,10520,35047,27296,1181057.0818958,0.0231114993664703,455184.660812712,42166319.9815403,2867315,13793482.1567681,2.84909963524021,1296866.45108844,115809.369192639,0.098055691776341,2022-03-16,11,4
"Cherkasy",3,17,11378,35047,27296,1181057.0818958,0.0231114993664703,492309.037141354,42166319.9815403,2937845,13353284.6970094,2.93773973008499,1446275.81789004,265218.735994241,0.224560472190319,2022-03-17,11,4
"Cherkasy",3,18,15561,35047,27296,1181057.0818958,0.0231114993664703,673301.18886945,42166319.9815403,3000568,16972684.1033735,2.30757561638443,1553693.40591779,372636.324021991,0.315510850181641,2022-03-18,11,4
"Cherkasy",3,19,12220,35047,27296,1181057.0818958,0.0231114993664703,528741.117407923,42166319.9815403,3054560,15048536.3012417,2.59904081025561,1374219.74220334,193162.660307545,0.163550655822228,2022-03-19,11,4
"Cherkasy",3,20,13375,35047,27296,1181057.0818958,0.0231114993664703,578716.239388786,42166319.9815403,3096110,15993995.4746665,2.44280486657791,1413690.84594659,232633.764050794,0.196970804897403,2022-03-20,11,4
"Cherkasy",3,21,11977,35047,27296,1181057.0818958,0.0231114993664703,518226.870965195,42166319.9815403,3142666,14364262.2517806,2.71671828998408,1407876.41871237,226819.336816567,0.192047734435056,2022-03-21,12,5
"Cherkasy",3,22,11128,35047,27296,1181057.0818958,0.0231114993664703,481491.91117147,42166319.9815403,3193428,14451987.9298299,2.69671495511683,1298446.43762389,117389.355728089,0.0993934649963393,2022-03-22,12,5
"Cherkasy",3,23,10811,35047,27296,1181057.0818958,0.0231114993664703,467775.795441657,42166319.9815403,3242073,13909799.1043916,2.79833279326452,1308992.34827978,127935.266383984,0.108322678340513,2022-03-23,12,5
"Cherkasy",3,24,10322,35047,27296,1181057.0818958,0.0231114993664703,446617.497044564,42166319.9815403,3293875,13222244.7539933,2.93992780384741,1313023.19724605,131966.115350253,0.111735594640714,2022-03-24,12,5
"Cherkasy",3,25,10726,35047,27296,1181057.0818958,0.0231114993664703,464097.972611897,42166319.9815403,3340362,13384875.6435145,2.90073356044611,1346224.56449033,165167.482594527,0.139847163296633,2022-03-25,12,5
"Cherkasy",3,26,10581,35047,27296,1181057.0818958,0.0231114993664703,457824.039549364,42166319.9815403,3381590,13804920.9859031,2.80948583632932,1286250.15464501,105193.072749214,0.0890668828473231,2022-03-26,12,5
"Cherkasy",3,27,11454,35047,27296,1181057.0818958,0.0231114993664703,495597.443436198,42166319.9815403,3418343,13998440.8263799,2.76802091476646,1371824.08873618,190767.006840384,0.16152225812335,2022-03-27,12,5
"Cherkasy",3,28,8019,35047,27296,1181057.0818958,0.0231114993664703,346970.132609994,42166319.9815403,3450825,9146607.19813899,4.23277114047464,1468645.16391824,287588.082022443,0.243500577940581,2022-03-28,13,6
"Cherkasy",3,29,9114,35047,27296,1181057.0818958,0.0231114993664703,394349.144358086,42166319.9815403,3476582,12285282.5392086,3.14927539175934,1241914.05608827,60856.9741924705,0.0515275469114368,2022-03-29,13,6
"Cherkasy",3,30,10031,35047,27296,1181057.0818958,0.0231114993664703,434026.36241562,42166319.9815403,3509937,12164026.5637201,3.17792655080474,1379303.9008698,198246.818973997,0.167855408525875,2022-03-30,13,6
"Cherkasy",3,31,9985,35047,27296,1181057.0818958,0.0231114993664703,432036.011237161,42166319.9815403,3544257,13373483.804261,2.88795825731173,1247701.96610838,66644.884212581,0.0564281652717449,2022-03-31,13,6
"Cherkasy",4,1,9124,35047,27296,1181057.0818958,0.0231114993664703,394781.829396881,42166319.9815403,3573703,12337179.6343405,3.1281555530016,1234938.97185198,53881.8899561812,0.0456217491788724,2022-04-01,13,6
"Cherkasy",4,2,11732,35047,27296,1181057.0818958,0.0231114993664703,507626.087514709,42166319.9815403,3600613,14097174.7799249,2.73570467725631,1388715.06191131,207657.98001551,0.175823830362359,2022-04-02,13,6
"Cherkasy",4,3,14544,35047,27296,1181057.0818958,0.0231114993664703,629297.120423963,42166319.9815403,3628953,15789025.8041386,2.44076914304864,1535968.99334017,354911.911444372,0.300503605528259,2022-04-03,13,6
"Cherkasy",4,4,14695,35047,27296,1181057.0818958,0.0231114993664703,635830.664509773,42166319.9815403,3656628,14961466.1108319,2.57392502153648,1636580.45684187,455523.374946069,0.385691243826145,2022-04-04,14,7
"Cherkasy",4,5,10876,35047,27296,1181057.0818958,0.0231114993664703,470588.248193827,42166319.9815403,3687889,12053198.9093283,3.19238330595879,1502298.06751436,321240.985618563,0.271994462031349,2022-04-05,14,7
"Cherkasy",4,6,8913,35047,27296,1181057.0818958,0.0231114993664703,385652.175078299,42166319.9815403,3723843,10931601.6662137,3.51663719145151,1356198.78184452,175141.699948717,0.148292324421428,2022-04-06,14,7
"Cherkasy",4,7,8069,35047,27296,1181057.0818958,0.0231114993664703,349133.557803971,42166319.9815403,3761762,10085598.75527,3.80786098212295,1329452.05231151,148394.970415707,0.125645891879762,2022-04-07,14,7
"Cherkasy",4,8,8542,35047,27296,1181057.0818958,0.0231114993664703,369599.560138991,42166319.9815403,3800990,10629653.7546044,3.60927372304313,1333985.98045796,152928.898562161,0.12948476488256,2022-04-08,14,7
