"week","oblast_name","week_number","count","intensity"
2022-02-21,"Autonomous Republic of Crimea",1,0,0
2022-02-21,"Cherkaska",1,0,0
2022-02-21,"Chernihivska",1,0,0
2022-02-21,"Chernivetska",1,0,0
2022-02-21,"Dnipropetrovska",1,0,0
2022-02-21,"Donetska",1,0,0
2022-02-21,"Ivano-Frankivska",1,0,0
2022-02-21,"Kharkivska",1,0,0
2022-02-21,"Khersonska",1,53,6.71736375158428
2022-02-21,"Khmelnytska",1,0,0
2022-02-21,"Kirovohradska",1,0,0
2022-02-21,"Kyiv",1,0,0
2022-02-21,"Kyivska",1,8,1.01394169835234
2022-02-21,"Luhanska",1,0,0
2022-02-21,"Lvivska",1,0,0
2022-02-21,"Mykolaivska",1,0,0
2022-02-21,"Odeska",1,0,0
2022-02-21,"Poltavska",1,0,0
2022-02-21,"Rivnenska",1,0,0
2022-02-21,"Sevastopol",1,0,0
2022-02-21,"Sumska",1,0,0
2022-02-21,"Ternopilska",1,0,0
2022-02-21,"Vinnytska",1,0,0
2022-02-21,"Volynska",1,0,0
2022-02-21,"Zakarpatska",1,0,0
2022-02-21,"Zaporizka",1,1,0.126742712294043
2022-02-21,"Zhytomyrska",1,0,0
2022-02-28,"Autonomous Republic of Crimea",2,0,0
2022-02-28,"Cherkaska",2,0,0
2022-02-28,"Chernihivska",2,1,0.126742712294043
2022-02-28,"Chernivetska",2,0,0
2022-02-28,"Dnipropetrovska",2,0,0
2022-02-28,"Donetska",2,0,0
2022-02-28,"Ivano-Frankivska",2,0,0
2022-02-28,"Kharkivska",2,0,0
2022-02-28,"Khersonska",2,0,0
2022-02-28,"Khmelnytska",2,0,0
2022-02-28,"Kirovohradska",2,0,0
2022-02-28,"Kyiv",2,0,0
2022-02-28,"Kyivska",2,6,0.760456273764259
2022-02-28,"Luhanska",2,0,0
2022-02-28,"Lvivska",2,0,0
2022-02-28,"Mykolaivska",2,0,0
2022-02-28,"Odeska",2,0,0
2022-02-28,"Poltavska",2,0,0
2022-02-28,"Rivnenska",2,0,0
2022-02-28,"Sevastopol",2,0,0
2022-02-28,"Sumska",2,0,0
2022-02-28,"Ternopilska",2,0,0
2022-02-28,"Vinnytska",2,0,0
2022-02-28,"Volynska",2,0,0
2022-02-28,"Zakarpatska",2,0,0
2022-02-28,"Zaporizka",2,1,0.126742712294043
2022-02-28,"Zhytomyrska",2,0,0
2022-03-07,"Autonomous Republic of Crimea",3,0,0
2022-03-07,"Cherkaska",3,0,0
2022-03-07,"Chernihivska",3,1,0.126742712294043
2022-03-07,"Chernivetska",3,0,0
2022-03-07,"Dnipropetrovska",3,0,0
2022-03-07,"Donetska",3,0,0
2022-03-07,"Ivano-Frankivska",3,0,0
2022-03-07,"Kharkivska",3,0,0
2022-03-07,"Khersonska",3,0,0
2022-03-07,"Khmelnytska",3,0,0
2022-03-07,"Kirovohradska",3,0,0
2022-03-07,"Kyiv",3,1,0.126742712294043
2022-03-07,"Kyivska",3,38,4.81622306717364
2022-03-07,"Luhanska",3,14,1.7743979721166
2022-03-07,"Lvivska",3,0,0
2022-03-07,"Mykolaivska",3,0,0
2022-03-07,"Odeska",3,0,0
2022-03-07,"Poltavska",3,0,0
2022-03-07,"Rivnenska",3,0,0
2022-03-07,"Sevastopol",3,0,0
2022-03-07,"Sumska",3,0,0
2022-03-07,"Ternopilska",3,0,0
2022-03-07,"Vinnytska",3,0,0
2022-03-07,"Volynska",3,0,0
2022-03-07,"Zakarpatska",3,0,0
2022-03-07,"Zaporizka",3,0,0
2022-03-07,"Zhytomyrska",3,0,0
2022-03-14,"Autonomous Republic of Crimea",4,0,0
2022-03-14,"Cherkaska",4,0,0
2022-03-14,"Chernihivska",4,141,17.8707224334601
2022-03-14,"Chernivetska",4,0,0
2022-03-14,"Dnipropetrovska",4,3,0.380228136882129
2022-03-14,"Donetska",4,102,12.9277566539924
2022-03-14,"Ivano-Frankivska",4,0,0
2022-03-14,"Kharkivska",4,25,3.16856780735108
2022-03-14,"Khersonska",4,40,5.06970849176172
2022-03-14,"Khmelnytska",4,7,0.887198986058302
2022-03-14,"Kirovohradska",4,0,0
2022-03-14,"Kyiv",4,0,0
2022-03-14,"Kyivska",4,414,52.4714828897338
2022-03-14,"Luhanska",4,9,1.14068441064639
2022-03-14,"Lvivska",4,1,0.126742712294043
2022-03-14,"Mykolaivska",4,2,0.253485424588086
2022-03-14,"Odeska",4,4,0.506970849176172
2022-03-14,"Poltavska",4,0,0
2022-03-14,"Rivnenska",4,0,0
2022-03-14,"Sevastopol",4,0,0
2022-03-14,"Sumska",4,0,0
2022-03-14,"Ternopilska",4,0,0
2022-03-14,"Vinnytska",4,2,0.253485424588086
2022-03-14,"Volynska",4,0,0
2022-03-14,"Zakarpatska",4,0,0
2022-03-14,"Zaporizka",4,25,3.16856780735108
2022-03-14,"Zhytomyrska",4,51,6.4638783269962
2022-03-21,"Autonomous Republic of Crimea",5,0,0
2022-03-21,"Cherkaska",5,0,0
2022-03-21,"Chernihivska",5,143,18.1242078580482
2022-03-21,"Chernivetska",5,0,0
2022-03-21,"Dnipropetrovska",5,58,7.3510773130545
2022-03-21,"Donetska",5,767,97.211660329531
2022-03-21,"Ivano-Frankivska",5,0,0
2022-03-21,"Kharkivska",5,32,4.05576679340938
2022-03-21,"Khersonska",5,3,0.380228136882129
2022-03-21,"Khmelnytska",5,5,0.633713561470215
2022-03-21,"Kirovohradska",5,10,1.26742712294043
2022-03-21,"Kyiv",5,12,1.52091254752852
2022-03-21,"Kyivska",5,249,31.5589353612167
2022-03-21,"Luhanska",5,238,30.1647655259823
2022-03-21,"Lvivska",5,43,5.44993662864385
2022-03-21,"Mykolaivska",5,3,0.380228136882129
2022-03-21,"Odeska",5,20,2.53485424588086
2022-03-21,"Poltavska",5,0,0
2022-03-21,"Rivnenska",5,0,0
2022-03-21,"Sevastopol",5,0,0
2022-03-21,"Sumska",5,0,0
2022-03-21,"Ternopilska",5,0,0
2022-03-21,"Vinnytska",5,0,0
2022-03-21,"Volynska",5,0,0
2022-03-21,"Zakarpatska",5,0,0
2022-03-21,"Zaporizka",5,12,1.52091254752852
2022-03-21,"Zhytomyrska",5,90,11.4068441064639
2022-03-28,"Autonomous Republic of Crimea",6,0,0
2022-03-28,"Cherkaska",6,5,0.633713561470215
2022-03-28,"Chernihivska",6,32,4.05576679340938
2022-03-28,"Chernivetska",6,3,0.380228136882129
2022-03-28,"Dnipropetrovska",6,33,4.18250950570342
2022-03-28,"Donetska",6,115,14.575411913815
2022-03-28,"Ivano-Frankivska",6,8,1.01394169835234
2022-03-28,"Kharkivska",6,70,8.87198986058302
2022-03-28,"Khersonska",6,2,0.253485424588086
2022-03-28,"Khmelnytska",6,0,0
2022-03-28,"Kirovohradska",6,5,0.633713561470215
2022-03-28,"Kyiv",6,0,0
2022-03-28,"Kyivska",6,149,18.8846641318124
2022-03-28,"Luhanska",6,66,8.36501901140684
2022-03-28,"Lvivska",6,17,2.15462610899873
2022-03-28,"Mykolaivska",6,10,1.26742712294043
2022-03-28,"Odeska",6,16,2.02788339670469
2022-03-28,"Poltavska",6,0,0
