"week","raion_name","week_number","count","intensity"
2022-02-21,"Bakhchysaraiskyi",1,0,0
2022-02-21,"Bilohirskyi",1,0,0
2022-02-21,"Dzhankoiskyi",1,0,0
2022-02-21,"Yevpatoriiskyi",1,0,0
2022-02-21,"Kerchenskyi",1,0,0
2022-02-21,"Kurmanskyi",1,0,0
2022-02-21,"Perekopskyi",1,0,0
2022-02-21,"Simferopolskyi",1,0,0
2022-02-21,"Feodosiiskyi",1,0,0
2022-02-21,"Yaltynskyi",1,0,0
2022-02-21,"Vinnytskyi",1,0,0
2022-02-21,"Haisynskyi",1,0,0
2022-02-21,"Zhmerynskyi",1,0,0
2022-02-21,"Mohyliv-Podilskyi",1,0,0
2022-02-21,"Tulchynskyi",1,0,0
2022-02-21,"Khmilnytskyi",1,0,0
2022-02-21,"Volodymyrskyi",1,0,0
2022-02-21,"Kamin-Kashyrskyi",1,0,0
2022-02-21,"Kovelskyi",1,0,0
2022-02-21,"Lutskyi",1,0,0
2022-02-21,"Dniprovskyi",1,0,0
2022-02-21,"Kamianskyi",1,0,0
2022-02-21,"Kryvorizkyi",1,0,0
2022-02-21,"Nikopolskyi",1,0,0
2022-02-21,"Novomoskovskyi",1,0,0
2022-02-21,"Pavlohradskyi",1,0,0
2022-02-21,"Synelnykivskyi",1,0,0
2022-02-21,"Bakhmutskyi",1,0,0
2022-02-21,"Volnovaskyi",1,0,0
2022-02-21,"Horlivskyi",1,0,0
2022-02-21,"Donetskyi",1,0,0
2022-02-21,"Kalmiuskyi",1,0,0
2022-02-21,"Kramatorskyi",1,0,0
2022-02-21,"Mariupolskyi",1,0,0
2022-02-21,"Pokrovskyi",1,0,0
2022-02-21,"Berdychivskyi",1,0,0
2022-02-21,"Zhytomyrskyi",1,0,0
2022-02-21,"Korostenskyi",1,0,0
2022-02-21,"Zviahelskyi",1,0,0
2022-02-21,"Berehivskyi",1,0,0
2022-02-21,"Mukachivskyi",1,0,0
2022-02-21,"Rakhivskyi",1,0,0
2022-02-21,"Tiachivskyi",1,0,0
2022-02-21,"Uzhhorodskyi",1,0,0
2022-02-21,"Khustskyi",1,0,0
2022-02-21,"Berdianskyi",1,0,0
2022-02-21,"Vasylivskyi",1,1,0.309597523219814
2022-02-21,"Zaporizkyi",1,0,0
2022-02-21,"Melitopolskyi",1,0,0
2022-02-21,"Polohivskyi",1,0,0
2022-02-21,"Verkhovynskyi",1,0,0
2022-02-21,"Ivano-Frankivskyi",1,0,0
2022-02-21,"Kaluskyi",1,0,0
2022-02-21,"Kolomyiskyi",1,0,0
2022-02-21,"Kosivskyi",1,0,0
2022-02-21,"Nadvirnianskyi",1,0,0
